Date,Calorie burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,MinutesOfSleep,MinutesOfBeingAwake,NumberOfAwakings,LengthOfRestInMinutes,Distance_miles,Days,Days_encoded,Work_or_Weekend,Hours Sleep,Sleep efficiency,Yesterday_sleep,Yesterday_sleep_efficiency,Months,Months_encoded
2015-08-09,3109,11433,8.49,15,561.0,236,40,35,1564,303,27,16,336,527.543.979,Sunday,6.0,0,05.05,901.785.714.286,4.9,837.606.837.607,August,8
2015-08-10,3139,13655,10.15,13,985.0,285,8,23,1617,553,31,20,592,630.691.565,Monday,0.0,1,921.666.666.667,934.121.621.622,05.05,901.785.714.286,August,8
2015-08-11,2857,13535,10.08,7,1.348,44,4,14,3470,402,22,12,427,626.341.968,Tuesday,1.0,1,6.7,941.451.990.632,921.666.666.667,934.121.621.622,August,8
2015-08-12,2055,1883,1.4,1,1.37,70,0,0,2870,192,22,12,230,8.699.194,Wednesday,2.0,1,3.2,834.782.608.696,6.7,941.451.990.632,August,8
2015-08-13,3218,11354,8.44,8,694.0,366,4,10,1718,487,27,17,518,524.437.124,Thursday,3.0,1,811.666.666.667,940.154.440.154,3.2,834.782.608.696,August,8
2015-08-14,301,11532,8.57,4,572.0,301,26,10,1542,544,39,24,583,532.514.947,Friday,4.0,1,906.666.666.667,933.104.631.218,811.666.666.667,940.154.440.154,August,8
2015-08-15,2813,6129,4.55,3,635.0,256,8,1,1159,77,0,0,77,282.723.805,Saturday,5.0,0,128.333.333.333,100.0,906.666.666.667,933.104.631.218,August,8
2015-08-16,2706,6238,4.64,3,688.0,267,0,0,1084,80,2,5,92,288.316.144,Sunday,6.0,0,133.333.333.333,869.565.217.391,128.333.333.333,100.0,August,8
2015-08-17,3683,15572,11.57,9,515.0,472,33,14,2362,0,0,0,0,718.926.247,Monday,0.0,1,0.0,0.0,133.333.333.333,869.565.217.391,August,8
2015-08-18,3106,10886,08.09,19,639.0,292,27,20,1578,263,33,17,297,502.689.139,Tuesday,1.0,1,438.333.333.333,885.521.885.522,0.0,0.0,August,8
2015-08-19,3217,12213,09.07,6,421.0,381,13,8,1834,219,15,11,237,563.583.497,Wednesday,2.0,1,3.65,924.050.632.911,438.333.333.333,885.521.885.522,August,8
2015-08-20,3421,12929,9.61,4,565.0,425,25,18,207,551,42,27,593,597.137.531,Thursday,3.0,1,918.333.333.333,929.173.693.086,3.65,924.050.632.911,August,8
